The maximum sample data size is 50000
         n	 repetitions	   sort(sec)
       100	      221231	    0.000005
       200	      101736	    0.000010
       300	       62441	    0.000016
       400	       40834	    0.000024
       500	       30950	    0.000032
       600	       23756	    0.000042
       700	       19322	    0.000052
       800	       16154	    0.000062
       900	       13398	    0.000075
      1000	       11718	    0.000085
      2000	        5059	    0.000198
      3000	        3184	    0.000314
      4000	        2250	    0.000445
      5000	        1762	    0.000568
      6000	        1477	    0.000677
      7000	        1219	    0.000821
      8000	        1058	    0.000945
      9000	         919	    0.001089
     10000	         833	    0.001201
     20000	         378	    0.002646
     30000	         244	    0.004106
     40000	         183	    0.005482
     50000	         139	    0.007231
