The maximum sample data size is 50000
         n	 repetitions	   sort(sec)
       100	       74009	    0.000014
       200	       21827	    0.000046
       300	       10191	    0.000098
       400	        6005	    0.000167
       500	        3878	    0.000258
       600	        2662	    0.000376
       700	        1996	    0.000501
       800	        1553	    0.000644
       900	        1260	    0.000794
      1000	        1017	    0.000984
      2000	         269	    0.003718
      3000	         122	    0.008252
      4000	          69	    0.014634
      5000	          39	    0.025801
      6000	          31	    0.033047
      7000	          23	    0.045059
      8000	          17	    0.059862
      9000	          14	    0.075516
     10000	          12	    0.091100
     20000	           3	    0.360507
     30000	           2	    0.807468
     40000	           1	    1.438509
     50000	           1	    2.255414
